model,val_acc,val_loss,val_f1,vocab_min_freq,hidden_dim,lr,clip,freeze
rnn,0.8077979132344866,0.4225293767773012,0.8195876288659794,1,300,0.0001,5.0,False
rnn,0.7896760021965953,0.4481042361338017,0.7966011683483802,1,300,5e-05,0.25,True
rnn,0.8061504667764964,0.44549459425189347,0.8076294277929156,1,300,5e-05,0.25,False
rnn,0.7940691927512356,0.44253082467853727,0.8010610079575596,1,300,5e-05,1.0,True
rnn,0.8072487644151565,0.4354398985572859,0.8085106382978723,1,300,5e-05,1.0,False
rnn,0.7918725974739155,0.4378631004653482,0.8014667365112624,1,300,5e-05,5.0,True
rnn,0.8077979132344866,0.41388333457502147,0.8104008667388949,1,300,5e-05,5.0,False
rnn,0.8050521691378364,0.5229645349506753,0.7927612375948628,1,400,0.001,0.25,True
rnn,0.6952224052718287,1.8479954516868025,0.5969498910675382,1,400,0.001,0.25,False
rnn,0.8132894014277869,0.5058383536430455,0.8121546961325967,1,400,0.001,1.0,True
rnn,0.8072487644151565,0.8909447645499509,0.8072487644151565,1,400,0.001,1.0,False
rnn,0.7907742998352554,0.4223637231623059,0.7796414112203586,1,400,0.001,5.0,True
rnn,0.7968149368478857,0.8408868176344003,0.7732843137254902,1,400,0.001,5.0,False
rnn,0.7968149368478857,0.44526207789099526,0.806282722513089,1,400,0.0001,0.25,True
rnn,0.8182317408017573,0.5118858500505005,0.8153931957612939,1,400,0.0001,0.25,False
rnn,0.7990115321252059,0.43578525199332385,0.8089770354906054,1,400,0.0001,1.0,True
rnn,0.8209774848984075,0.4511180359999077,0.8214676889375685,1,400,0.0001,1.0,False
rnn,0.7935200439319056,0.4336421966781857,0.8065843621399177,1,400,0.0001,5.0,True
rnn,0.7979132344865458,0.46437552851153757,0.8169154228855722,1,400,0.0001,5.0,False
rnn,0.7891268533772653,0.45623750982213845,0.7981072555205048,1,400,5e-05,0.25,True
rnn,0.8050521691378364,0.4601522113418003,0.8118706942236354,1,400,5e-05,0.25,False
rnn,0.7913234486545854,0.4530956510951531,0.7974413646055437,1,400,5e-05,1.0,True
rnn,0.8105436573311368,0.4434648463845188,0.813614262560778,1,400,5e-05,1.0,False
rnn,0.7935200439319056,0.4432615163004182,0.8027282266526757,1,400,5e-05,5.0,True
rnn,0.8127402526084568,0.41404443638852373,0.8119139547710976,1,400,5e-05,5.0,False
rnn,0.7473915431081823,0.5740927958606299,0.747530186608123,20,200,0.001,0.25,True
rnn,0.7457440966501923,0.5858409272190767,0.7432057681641708,20,200,0.001,0.25,False
rnn,0.727622185612301,0.5639608170160024,0.697560975609756,20,200,0.001,1.0,True
rnn,0.7440966501922021,0.5904342650974406,0.735527809307605,20,200,0.001,1.0,False
rnn,0.7440966501922021,0.5281260459715033,0.7436743674367436,20,200,0.001,5.0,True
rnn,0.742449203734212,0.5332182773124511,0.7387186629526462,20,200,0.001,5.0,False
rnn,0.7105985722130698,0.5757091344548476,0.6959030582804385,20,200,0.0001,0.25,True
rnn,0.7303679297089511,0.552271690491724,0.7199087278950371,20,200,0.0001,0.25,False
rnn,0.7215815485996705,0.5565192866691975,0.7227993439037725,20,200,0.0001,1.0,True
rnn,0.7369577155409116,0.5370605109092759,0.7331476323119778,20,200,0.0001,1.0,False
rnn,0.727622185612301,0.5485493513596444,0.7301414581066377,20,200,0.0001,5.0,True
rnn,0.741900054914882,0.5198536350267526,0.7434497816593887,20,200,0.0001,5.0,False
rnn,0.6886326194398682,0.595321599072902,0.6693877551020408,20,200,5e-05,0.25,True
rnn,0.7160900604063701,0.5731206082302682,0.7044025157232704,20,200,5e-05,0.25,False
rnn,0.7040087863811093,0.5841980691076569,0.6935758953951109,20,200,5e-05,1.0,True
rnn,0.7127951674903898,0.5760782564295183,0.6971627099015634,20,200,5e-05,1.0,False
rnn,0.7067545304777595,0.5786357930831239,0.6920415224913494,20,200,5e-05,5.0,True
rnn,0.7232289950576606,0.5462269933259075,0.7178051511758119,20,200,5e-05,5.0,False
rnn,0.7397034596375618,0.569117564673217,0.7515723270440252,20,300,0.001,0.25,True
rnn,0.7243272926963207,0.5677200010816583,0.7019002375296912,20,300,0.001,0.25,False
rnn,0.742449203734212,0.5734952737642212,0.7495995728777363,20,300,0.001,1.0,True
rnn,0.7408017572762219,0.5298940491898907,0.7392265193370166,20,300,0.001,1.0,False
rnn,0.7336628226249313,0.5231848923077235,0.7339550191991223,20,300,0.001,5.0,True
rnn,0.7534321801208127,0.529618067410148,0.7537026878771256,20,300,0.001,5.0,False
rnn,0.7012630422844591,0.5929982299859677,0.6633663366336634,20,300,0.0001,0.25,True
rnn,0.7215815485996705,0.5529491998938529,0.6951292844257366,20,300,0.0001,0.25,False
rnn,0.7122460186710599,0.5742412387571906,0.6928487690504103,20,300,0.0001,1.0,True
rnn,0.729818780889621,0.5462839890482136,0.708185053380783,20,300,0.0001,1.0,False
rnn,0.7254255903349808,0.5395602873234484,0.7297297297297297,20,300,0.0001,5.0,True
rnn,0.7375068643602416,0.5158206658465465,0.7338530066815144,20,300,0.0001,5.0,False
rnn,0.7012630422844591,0.5692692224237043,0.7084673097534834,20,300,5e-05,0.25,True
rnn,0.7204832509610104,0.5563550440902437,0.7132394366197183,20,300,5e-05,0.25,False
rnn,0.7056562328390994,0.5640830032318781,0.7054945054945055,20,300,5e-05,1.0,True
rnn,0.7270730367929709,0.5525476083134898,0.7155123068116772,20,300,5e-05,1.0,False
rnn,0.7127951674903898,0.5537160828112246,0.7121629058888277,20,300,5e-05,5.0,True
rnn,0.729818780889621,0.5394212976711782,0.716915995397008,20,300,5e-05,5.0,False
rnn,0.6633717737506865,0.6154050352087654,0.7181609195402299,20,400,0.001,0.25,True
rnn,0.7490389895661724,0.5446447816149079,0.7554842161583735,20,400,0.001,0.25,False
rnn,0.7265238879736409,0.5384075026601176,0.7517447657028913,20,400,0.001,1.0,True
rnn,0.7386051619989017,0.5464579139942,0.7673509286412512,20,400,0.001,1.0,False
rnn,0.7347611202635914,0.5255925525746982,0.7170474516695958,20,400,0.001,5.0,True
rnn,0.7402526084568918,0.529042446780244,0.7716079188797682,20,400,0.001,5.0,False
rnn,0.7221306974190006,0.5573264412144132,0.7231947483588621,20,400,0.0001,0.25,True
